日期,成分股代码
2025-06-30,000408
2025-06-30,000423
2025-06-30,000786
2025-06-30,000807
2025-06-30,000921
2025-06-30,000933
2025-06-30,000975
2025-06-30,000999
2025-06-30,001286
2025-06-30,002001
2025-06-30,002028
2025-06-30,002074
2025-06-30,002223
2025-06-30,002236
2025-06-30,002252
2025-06-30,002340
2025-06-30,002353
2025-06-30,002409
2025-06-30,002459
2025-06-30,002517
2025-06-30,002595
2025-06-30,002601
2025-06-30,002608
2025-06-30,002625
2025-06-30,002648
2025-06-30,002709
2025-06-30,002738
2025-06-30,002821
2025-06-30,002920
2025-06-30,300037
2025-06-30,300316
2025-06-30,300394
2025-06-30,300442
2025-06-30,300628
2025-06-30,300661
2025-06-30,300751
2025-06-30,300832
2025-06-30,300866
2025-06-30,300919
2025-06-30,301301
2025-06-30,301308
2025-06-30,301498
2025-06-30,600026
2025-06-30,600039
2025-06-30,600066
2025-06-30,600096
2025-06-30,600132
2025-06-30,600157
2025-06-30,600160
2025-06-30,600256
2025-06-30,600415
2025-06-30,600426
2025-06-30,600460
2025-06-30,600549
2025-06-30,600803
2025-06-30,600863
2025-06-30,600873
2025-06-30,601058
2025-06-30,601168
2025-06-30,601198
2025-06-30,601233
2025-06-30,601567
2025-06-30,601808
2025-06-30,601865
2025-06-30,601958
2025-06-30,603198
2025-06-30,603338
2025-06-30,603369
2025-06-30,603486
2025-06-30,603529
2025-06-30,603568
2025-06-30,603596
2025-06-30,603605
2025-06-30,603606
2025-06-30,603659
2025-06-30,603799
2025-06-30,603806
2025-06-30,603893
2025-06-30,603899
2025-06-30,603939
2025-06-30,603979
2025-06-30,605117
2025-06-30,688072
2025-06-30,688082
2025-06-30,688099
2025-06-30,688120
2025-06-30,688122
2025-06-30,688169
2025-06-30,688188
2025-06-30,688213
2025-06-30,688234
2025-06-30,688249
2025-06-30,688349
2025-06-30,688472
2025-06-30,688578
2025-06-30,688599
2025-06-30,688608
2025-06-30,688617
2025-06-30,688777
2025-06-30,689009
