日期,成分股代码
2025-06-30,300001
2025-06-30,300002
2025-06-30,300003
2025-06-30,300012
2025-06-30,300014
2025-06-30,300015
2025-06-30,300017
2025-06-30,300024
2025-06-30,300033
2025-06-30,300037
2025-06-30,300054
2025-06-30,300058
2025-06-30,300059
2025-06-30,300070
2025-06-30,300073
2025-06-30,300115
2025-06-30,300122
2025-06-30,300124
2025-06-30,300136
2025-06-30,300142
2025-06-30,300144
2025-06-30,300146
2025-06-30,300207
2025-06-30,300212
2025-06-30,300223
2025-06-30,300251
2025-06-30,300253
2025-06-30,300274
2025-06-30,300285
2025-06-30,300308
2025-06-30,300316
2025-06-30,300339
2025-06-30,300346
2025-06-30,300347
2025-06-30,300373
2025-06-30,300383
2025-06-30,300390
2025-06-30,300394
2025-06-30,300395
2025-06-30,300408
2025-06-30,300413
2025-06-30,300418
2025-06-30,300433
2025-06-30,300442
2025-06-30,300450
2025-06-30,300454
2025-06-30,300458
2025-06-30,300474
2025-06-30,300476
2025-06-30,300487
2025-06-30,300496
2025-06-30,300498
2025-06-30,300502
2025-06-30,300529
2025-06-30,300558
2025-06-30,300567
2025-06-30,300595
2025-06-30,300601
2025-06-30,300604
2025-06-30,300627
2025-06-30,300628
2025-06-30,300661
2025-06-30,300666
2025-06-30,300676
2025-06-30,300677
2025-06-30,300679
2025-06-30,300699
2025-06-30,300724
2025-06-30,300735
2025-06-30,300748
2025-06-30,300750
2025-06-30,300751
2025-06-30,300759
2025-06-30,300760
2025-06-30,300761
2025-06-30,300763
2025-06-30,300765
2025-06-30,300776
2025-06-30,300782
2025-06-30,300803
2025-06-30,300832
2025-06-30,300857
2025-06-30,300866
2025-06-30,300888
2025-06-30,300896
2025-06-30,300919
2025-06-30,300957
2025-06-30,300979
2025-06-30,300999
2025-06-30,301029
2025-06-30,301165
2025-06-30,301236
2025-06-30,301267
2025-06-30,301269
2025-06-30,301301
2025-06-30,301308
2025-06-30,301358
2025-06-30,301498
2025-06-30,301536
2025-06-30,302132
