日期,成分股代码
2025-07-25,600015
2025-07-25,600019
2025-07-25,600028
2025-07-25,600057
2025-07-25,600123
2025-07-25,600153
2025-07-25,600177
2025-07-25,600188
2025-07-25,600256
2025-07-25,600282
2025-07-25,600295
2025-07-25,600350
2025-07-25,600373
2025-07-25,600398
2025-07-25,600461
2025-07-25,600546
2025-07-25,600548
2025-07-25,600729
2025-07-25,600755
2025-07-25,600901
2025-07-25,600919
2025-07-25,600971
2025-07-25,600985
2025-07-25,600997
2025-07-25,601000
2025-07-25,601006
2025-07-25,601009
2025-07-25,601077
2025-07-25,601088
2025-07-25,601098
2025-07-25,601166
2025-07-25,601169
2025-07-25,601225
2025-07-25,601229
2025-07-25,601288
2025-07-25,601328
2025-07-25,601339
2025-07-25,601398
2025-07-25,601666
2025-07-25,601699
2025-07-25,601818
2025-07-25,601825
2025-07-25,601919
2025-07-25,601928
2025-07-25,601939
2025-07-25,601988
2025-07-25,601998
2025-07-25,603519
2025-07-25,603565
2025-07-25,603886
