日期,成分股代码
2025-06-30,000157
2025-06-30,000333
2025-06-30,000338
2025-06-30,000408
2025-06-30,000423
2025-06-30,000425
2025-06-30,000513
2025-06-30,000538
2025-06-30,000568
2025-06-30,000630
2025-06-30,000651
2025-06-30,000708
2025-06-30,000776
2025-06-30,000786
2025-06-30,000830
2025-06-30,000858
2025-06-30,000895
2025-06-30,000933
2025-06-30,000975
2025-06-30,000999
2025-06-30,001965
2025-06-30,002001
2025-06-30,002027
2025-06-30,002128
2025-06-30,002223
2025-06-30,002236
2025-06-30,002304
2025-06-30,002372
2025-06-30,002415
2025-06-30,002422
2025-06-30,002430
2025-06-30,002508
2025-06-30,002532
2025-06-30,002558
2025-06-30,002572
2025-06-30,002601
2025-06-30,002966
2025-06-30,300628
2025-06-30,300760
2025-06-30,300979
