日期,成分股代码
2025-06-30,000002
2025-06-30,000333
2025-06-30,000338
2025-06-30,000651
2025-06-30,000858
2025-06-30,000895
2025-06-30,001979
2025-06-30,002304
2025-06-30,002415
2025-06-30,600000
2025-06-30,600015
2025-06-30,600016
2025-06-30,600018
2025-06-30,600019
2025-06-30,600028
2025-06-30,600030
2025-06-30,600036
2025-06-30,600048
2025-06-30,600104
2025-06-30,600188
2025-06-30,600519
2025-06-30,600585
2025-06-30,600887
2025-06-30,600900
2025-06-30,600938
2025-06-30,601006
2025-06-30,601009
2025-06-30,601088
2025-06-30,601166
2025-06-30,601169
2025-06-30,601186
2025-06-30,601225
2025-06-30,601288
2025-06-30,601318
2025-06-30,601328
2025-06-30,601390
2025-06-30,601398
2025-06-30,601601
2025-06-30,601658
2025-06-30,601668
2025-06-30,601728
2025-06-30,601766
2025-06-30,601800
2025-06-30,601818
2025-06-30,601857
2025-06-30,601899
2025-06-30,601919
2025-06-30,601939
2025-06-30,601988
2025-06-30,601998
