日期,成分股代码
2025-06-30,000032
2025-06-30,000034
2025-06-30,000403
2025-06-30,000426
2025-06-30,000543
2025-06-30,000683
2025-06-30,000737
2025-06-30,000830
2025-06-30,000878
2025-06-30,000893
2025-06-30,000966
2025-06-30,000997
2025-06-30,001203
2025-06-30,001308
2025-06-30,001389
2025-06-30,002056
2025-06-30,002131
2025-06-30,002155
2025-06-30,002176
2025-06-30,002240
2025-06-30,002244
2025-06-30,002249
2025-06-30,002266
2025-06-30,002312
2025-06-30,002318
2025-06-30,002320
2025-06-30,002402
2025-06-30,002429
2025-06-30,002432
2025-06-30,002468
2025-06-30,002472
2025-06-30,002484
2025-06-30,002497
2025-06-30,002506
2025-06-30,002518
2025-06-30,002541
2025-06-30,002572
2025-06-30,002597
2025-06-30,002607
2025-06-30,002690
2025-06-30,002756
2025-06-30,002773
2025-06-30,002831
2025-06-30,002837
2025-06-30,002850
2025-06-30,002865
2025-06-30,002867
2025-06-30,002906
2025-06-30,002978
2025-06-30,002984
2025-06-30,003031
2025-06-30,300001
2025-06-30,300002
2025-06-30,300009
2025-06-30,300073
2025-06-30,300115
2025-06-30,300118
2025-06-30,300144
2025-06-30,300298
2025-06-30,300346
2025-06-30,300373
2025-06-30,300390
2025-06-30,300395
2025-06-30,300432
2025-06-30,300457
2025-06-30,300487
2025-06-30,300568
2025-06-30,300573
2025-06-30,300601
2025-06-30,300604
2025-06-30,300623
2025-06-30,300627
2025-06-30,300633
2025-06-30,300666
2025-06-30,300672
2025-06-30,300724
2025-06-30,300748
2025-06-30,300761
2025-06-30,300763
2025-06-30,300775
2025-06-30,300776
2025-06-30,300777
2025-06-30,300779
2025-06-30,300857
2025-06-30,301015
2025-06-30,301029
2025-06-30,301035
2025-06-30,301589
2025-06-30,301611
2025-06-30,600021
2025-06-30,600032
2025-06-30,600098
2025-06-30,600141
2025-06-30,600171
2025-06-30,600312
2025-06-30,600329
2025-06-30,600361
2025-06-30,600392
2025-06-30,600456
2025-06-30,600499
2025-06-30,600563
2025-06-30,600578
2025-06-30,600583
2025-06-30,600623
2025-06-30,600675
2025-06-30,600685
2025-06-30,600702
2025-06-30,600707
2025-06-30,600737
2025-06-30,600779
2025-06-30,600872
2025-06-30,600933
2025-06-30,600977
2025-06-30,601702
2025-06-30,601717
2025-06-30,601918
2025-06-30,601969
2025-06-30,603025
2025-06-30,603027
2025-06-30,603056
2025-06-30,603129
2025-06-30,603179
2025-06-30,603225
2025-06-30,603236
2025-06-30,603290
2025-06-30,603305
2025-06-30,603317
2025-06-30,603444
2025-06-30,603456
2025-06-30,603556
2025-06-30,603565
2025-06-30,603613
2025-06-30,603688
2025-06-30,603707
2025-06-30,603786
2025-06-30,603868
2025-06-30,603871
2025-06-30,605090
2025-06-30,605111
2025-06-30,605296
2025-06-30,688002
2025-06-30,688005
2025-06-30,688018
2025-06-30,688032
2025-06-30,688037
2025-06-30,688050
2025-06-30,688052
2025-06-30,688100
2025-06-30,688153
2025-06-30,688183
2025-06-30,688200
2025-06-30,688248
2025-06-30,688278
2025-06-30,688281
2025-06-30,688295
2025-06-30,688301
2025-06-30,688361
2025-06-30,688385
2025-06-30,688516
2025-06-30,688520
2025-06-30,688568
2025-06-30,688582
2025-06-30,688676
2025-06-30,688778
2025-06-30,832982
2025-06-30,835185
